Markası,Hata Kodu,Aciklama
Arcelik,H1,NTC sensor short circuit or open circuit
Arcelik,H2,Heater short circuit
Arcelik,H3,Heater continuously operating
Arcelik,H4,Continuous water intake error
Arcelik,H5,Water drainage error
Arcelik,H6,Motor triac short circuit
Arcelik,H7,Water level sensor error
Arcelik,H11,Motor open circuit
Arcelik,H12,Aqua stop failure
Arcelik,H13,Rinse sensor
Arcelik,E01,NTC short circuit or open circuit
Arcelik,E02,Heater short circuit
Arcelik,E03,Heater continuously operating
Arcelik,E04,Valve short circuit
Arcelik,E05,Pump not draining water
Arcelik,E06,Motor short circuit
Arcelik,E07,Water level sensor faulty
Arcelik,E08,Pump short circuit
Arcelik,E09,Door lock open circuit
Arcelik,E10,Door lock short circuit
Arcelik,E11,Motor windings open circuit
Arcelik,E12,Aqua stop failure
Arcelik,E13,Motor module or communication cable faulty
Arcelik,E14,Jet pump open circuit
Arcelik,E15,Flow meter open short circuit
Arcelik,E16,Rinse sensor short circuit
Arcelik,E17,Laundry remains foamy
Arcelik,E18,Unbalanced load in the machine
Arcelik,E21,Safe water drainage level activated
Arcelik,E22,Communication cable fault between LCD board and main board
Arcelik,E23,Door switch not working
Arcelik,E24,Load sensor not working
Arcelik,E25,Communication cable fault between control panel and main board
Arcelik,E26,Main board cannot be written or read
Arcelik,E27,Level sensor control and flow meter control
Arcelik,E29,Mains voltage out of limits
Arcelik,E30,NTC short circuit or open circuit
Arcelik,E33,Air duct open or flap closed
Arcelik,E34,No communication with D sensor
Arcelik,E35,Drying heater open circuit
Arcelik,E37,Overheating in the drum
Arcelik,E39,Overheating at condenser inlet
Arcelik,E40,Overheating at condenser outlet
Arcelik,F01,NTC short circuit or open circuit
Arcelik,F02,Heater short circuit
Arcelik,F03,Heater continuously operating
Arcelik,F04,Valve triac short circuit
Arcelik,F05,Pump not draining water
Arcelik,F06,Motor triac short circuit
Arcelik,F07,Water level sensor faulty
Arcelik,F08,Pump short circuit
Arcelik,F09,Door lock open circuit
Arcelik,F10,Door triac short circuit
Arcelik,F11,Motor triac open circuit
Samsung,4E,Water source error + A2:A13
Samsung,HE,Water temperature sensor error
Samsung,LE,Water level error
Samsung,OE,Water drainage error
Samsung,FE,Water supply error
Samsung,CE,Electrical error
Samsung,E2,Water temperature high
Samsung,E3,Water temperature low
Samsung,E4,Water heating error
Samsung,E5,Door open
Samsung,E6,Water filling error
Samsung,E7,Water pressure error
Samsung,E8,Water leakage error
Asansor,E0,Elevator height limit exceeded
Asansor,E1,Door not opened or attempted to move with door open
Asansor,E2,Elevator does not move in overload condition
Asansor,E3,Brake not released or brake system error
Asansor,E4,Jerk occurred during sudden stop
Asansor,E5,Vibration during deceleration or stopping
Asansor,E6,Elevator stopped moving and an error occurred in the control unit
Asansor,E7,Power supply error in the elevator
Asansor,E8,Elevator does not operate in excessively high temperature
Asansor,E9,Cabin door lock system faulty
ABB Sürücü,4001,Driver fan error
ABB Sürücü,4002,Internal temperature error
ABB Sürücü,4003,Control supply error
ABB Sürücü,4004,Input phase error
ABB Sürücü,4005,Capacitor voltage error
ABB Sürücü,4006,Output phase error
ABB Sürücü,4007,Driver overheating error
ABB Sürücü,4008,DC overvoltage error
ABB Sürücü,4009,AC overvoltage error
ABB Sürücü,4010,DC overcurrent error
ABB Sürücü,4011,AC overcurrent error
ABB Sürücü,4012,Brake error
ABB Sürücü,4013,Encoder error
ABB Sürücü,4014,Low DC voltage error
ABB Sürücü,4015,Line frequency error
ABB Sürücü,4016,Internal communication error
ABB Sürücü,4017,Software error
ABB Sürücü,4018,Input signal error
ABB Sürücü,4019,Output signal error
ABB Sürücü,4020,Output overload error
ABB Sürücü,4021,Driver overvoltage error
ABB Sürücü,4022,Driver undervoltage error
ABB Sürücü,4023,DC voltage error
ABB Sürücü,4024,DC current error
ABB Sürücü,4025,Driver overload error
ABB Sürücü,3601,Internal thermal protection triggered
ABB Sürücü,3602,External thermal protection triggered
ABB Sürücü,3603,Motor protection triggered
ABB Sürücü,3604,Temperature sensor error
ABB Sürücü,3605,Fan failure
ABB Sürücü,3606,Processor failure
ABB Sürücü,3607,DC bus voltage high
ABB Sürücü,3608,DC bus voltage low
ABB Sürücü,3609,Input phase loss
ABB Sürücü,3610,Input voltage high
ABB Sürücü,3611,Input voltage low
ABB Sürücü,3612,Output phase loss
ABB Sürücü,3613,Output overcurrent
ABB Sürücü,3614,DC current high
ABB Sürücü,3615,Excessive torque
ABB Sürücü,3616,Software error
ABB Sürücü,3617,Hardware error
ABB Sürücü,3618,Module error
ABB Sürücü,3619,Communication error
ABB Sürücü,3620,Power supply error
ABB Sürücü,2021,Temperature sensor error
ABB Sürücü,2022,Fan failure
ABB Sürücü,2023,Input phase loss
ABB Sürücü,2024,Input voltage high
ABB Sürücü,2025,Input voltage low
ABB Sürücü,2026,Output phase loss
ABB Sürücü,2027,Output overcurrent
ABB Sürücü,2028,DC current high
ABB Sürücü,2029,Excessive torque
ABB Sürücü,2030,Software error
ABB Sürücü,2031,Hardware error
ABB Sürücü,2032,Module error
ABB Sürücü,2033,Communication error
ABB Sürücü,2034,Power supply error
ABB Sürücü,5021,Temperature sensor error
ABB Sürücü,5022,Fan failure
ABB Sürücü,5023,Input phase loss
ABB Sürücü,5024,Input voltage high
ABB Sürücü,5025,Input voltage low
ABB Sürücü,5026,Output phase loss
ABB Sürücü,5027,Output overcurrent
ABB Sürücü,5028,DC current high
ABB Sürücü,5029,Excessive torque
ABB Sürücü,5030,Software error
ABB Sürücü,5031,Hardware error
ABB Sürücü,5032,Module error
ABB Sürücü,5033,Communication error
ABB Sürücü,5034,Power supply error
JCB,E001,High hydraulic oil temperature
JCB,E002,Low hydraulic oil level
JCB,E003,High hydraulic oil level
JCB,E010,Electrical failure
JCB,E011,Engine oil pressure low
JCB,E012,Engine oil pressure high
JCB,E024,Brake switch failure
JCB,E030,Low oil pressure
JCB,E031,High oil pressure
JCB,E032,Low fuel level
JCB,E034,Hydraulic oil filter clogged
JCB,E035,Hydraulic oil filter pressure low
JCB,E036,Hydraulic oil filter pressure high
JCB,E041,Fuel filter clogged
JCB,E045,Engine idle speed high
JCB,E046,Engine idle speed low
JCB,E050,Air filter clogged
JCB,E051,Air filter pressure low
JCB,E052,Air filter pressure high
JCB,E053,Hydraulic oil temperature high
JCB,E054,Hydraulic oil cooler clogged
JCB,E060,Water temperature high
JCB,E061,Water level low
JCB,E062,Water level high
JCB,E063,Fuel water separator clogged
JCB,E064,Oil cooler temperature high
JCB,E065,Oil cooler clogged
JCB,E070,Transmission oil temperature high
JCB,E071,Transmission oil level low
JCB,E072,Transmission oil level high
JCB,E073,Transmission oil filter clogged
JCB,E074,Transmission oil filter pressure low
JCB,E075,Transmission oil filter pressure high
JCB,E080,Left joystick failure
JCB,E081,Right joystick failure
JCB,E082,Left pedal failure
JCB,E083,Right pedal failure
JCB,E084,Left arm failure
JCB,E085,Right arm failure
JCB,E090,Left steering failure
JCB,E091,Right steering failure
JCB,E092,Steering drive motor failure
JCB,E100,Safety latch disabled
JCB,E111,Cabin safety lock failure
JCB,E120,Left cheek failure
JCB,E121,Right cheek failure
JCB,E130,Left mirror failure
JCB,E131,Right mirror failure
JCB,E140,Front window failure
Omron,E1,Overcurrent or overheating
Omron,E2,Low DC voltage or DC error
Omron,E3,Output phase loss or phase error
Omron,E4,Overspeed or excessive torque
Omron,E5,Encoder error
Omron,E6,Power supply error
Omron,E7,Communication error or control card error
Omron,E8,Brake error
Omron,E9,Low voltage or voltage fluctuation
Omron,E1,Air hose connection error
Omron,E2,Air pressure not detected
Omron,E3,Air pressure excessively high
Omron,E4,Air pressure excessively low
Omron,E5,Cuff issue
Omron,E6,Irregular heartbeat detected
Omron,E7,Operation error
Omron,E1,Air filter clogged
Omron,E2,Insufficient water level
Omron,E3,Medication tube clogged or medication tube connection error
Omron,E4,Nebulization nozzle clogged
Omron,E5,Operating time exceeded
Omron,E6,Medication tube empty or removed
Omron,F,Error (usually specified with error code)
Omron,E,Communication error
Omron,H,Hard disk error
Omron,C,Central processor error
Omron,P,Input Output module error
Omron,S,Software error
Omron,E1,Overcurrent
Omron,E2,Overvoltage
Omron,E3,Fan not working
Omron,E4,Internal overheating
Omron,E5,External overheating
Omron,E7,Driver error
Thermoking,Arıza Kodu 1,Does not affect operation clear the alarm
Thermoking,Arıza Kodu 2,Inspect load temperature perform repair
Thermoking,Arıza Kodu 3,During unit output sensor control inspect load perform repair
Thermoking,Arıza Kodu 4,During unit return sensor control inspect load perform repair
Thermoking,Arıza Kodu 5,Unit operating at low capacity perform necessary repair
Thermoking,Arıza Kodu 6,Unit operating at low capacity perform necessary repair
Thermoking,Arıza Kodu 7,Unit operating at low capacity perform necessary repair
Thermoking,Arıza Kodu 8,Multiple compartment unit
Thermoking,Arıza Kodu 9,Unit stopped to prevent damage repair immediately
Thermoking,Arıza Kodu 10,Unit stopped to prevent damage try again repair immediately
Thermoking,Arıza Kodu 11,Unit under another sensor control (alarm3-4) repair
Thermoking,Arıza Kodu 11,Unit stopped to prevent damage repair immediately
Thermoking,Arıza Kodu 13,Check compartment temperature with a thermometer
Thermoking,Arıza Kodu 14,Clear alarm repair after load
Thermoking,Arıza Kodu 15,Repair after load
Thermoking,Arıza Kodu 16,Motor did not start manually clear alarm and try again
Thermoking,Arıza Kodu 17,Try again in continuous operation mode repair as necessary
Thermoking,Arıza Kodu 18,Check belt tensions and water level control
Thermoking,Arıza Kodu 19,Top up engine oil perform repair as necessary
Thermoking,Arıza Kodu 20,Check fuel operate in continuous mode perform necessary repair
Thermoking,Arıza Kodu 21,Check load and perform necessary repair
Thermoking,Arıza Kodu 22,Check load perform necessary repair
Thermoking,Arıza Kodu 23,Unit stopped to prevent damage repair immediately
Thermoking,Arıza Kodu 24,Unit stopped to prevent damage repair immediately
Thermoking,Arıza Kodu 25,Check alternator charging repair immediately
Thermoking,Arıza Kodu 26,Check load perform necessary repair
Thermoking,Arıza Kodu 28,Self-test & pre-load test completed check other alarms
Thermoking,Arıza Kodu 29,Unit not defrosting check load perform repair
Thermoking,Arıza Kodu 30,Defrost damper stuck closed repair immediately
Thermoking,Arıza Kodu 31,Unit operating at low capacity or not working perform necessary repair
Thermoking,Arıza Kodu 32,Unit stopped to prevent damage repair immediately
Thermoking,Arıza Kodu 33,Check and record engine RPM perform necessary repair
Thermoking,Arıza Kodu 34,Check modulation circuit breaker and fuse perform repair
Thermoking,Arıza Kodu 35,Check operating relay circuit and perform repair
Thermoking,Arıza Kodu 36,Check incoming current inspect motor belts and perform repair
Thermoking,Arıza Kodu 37,Check and top up motor water level
Thermoking,Arıza Kodu 38,Current reversed voltage low or excessive load
Thermoking,Arıza Kodu 39,Unit operating at low temperature inspect load perform necessary repair
Thermoking,Arıza Kodu 40,Test high RPM
Thermoking,Arıza Kodu 41,Check water level and belt tension
Thermoking,Arıza Kodu 42,Temporary high temperature perform necessary repair
Thermoking,Arıza Kodu 43,Temporary high temperature perform necessary repair
Thermoking,Arıza Kodu 44,Check tank fuel clean fuel system if necessary
Thermoking,Arıza Kodu 45,Operating in low modulation circuit repair after load
Thermoking,Arıza Kodu 46,Load obstructing airflow check loading
Thermoking,Arıza Kodu 47,Multiple compartment sensor failure
Thermoking,Arıza Kodu 48,Clutch and belt slipping perform necessary repair
Thermoking,Arıza Kodu 49,Satellite communication not working
Thermoking,Arıza Kodu 50,Operation normal reset hours
Thermoking,Arıza Kodu 51,Second protection circuit failure repair
Thermoking,Arıza Kodu 52,Unable to heat perform repair
Thermoking,Arıza Kodu 53,Low circuit heating perform necessary repair
Thermoking,Arıza Kodu 54,Timeout shutdown during test does not affect operation
Thermoking,Arıza Kodu 55,Check engine RPM
Thermoking,Arıza Kodu 61,Check battery voltage and amperage
Thermoking,Arıza Kodu 62,Ammeter calibration test
Thermoking,Arıza Kodu 63,Unknown cause check fuel in particular try restarting
Thermoking,Arıza Kodu 64,Does not affect operation perform test clear alarms
Thermoking,Arıza Kodu 66,Check engine oil level top up oil
Thermoking,Arıza Kodu 67,Operating at low capacity inspect load perform repair
Thermoking,Arıza Kodu 68,Clear alarm try again inspect load perform repair
Thermoking,Arıza Kodu 70,Does not affect operation in any way
Thermoking,Arıza Kodu 71,Does not affect operation in any way
Thermoking,Arıza Kodu 72,Does not affect operation in any way
Thermoking,Arıza Kodu 73,Does not affect operation in any way
Thermoking,Arıza Kodu 74,Retest
Thermoking,Arıza Kodu 75,Processor may be faulty have it repaired
Thermoking,Arıza Kodu 76,Processor may be faulty have it repaired
Thermoking,Arıza Kodu 77,Processor may be faulty have it repaired
Thermoking,Arıza Kodu 78,Processor may be faulty have it repaired
Thermoking,Arıza Kodu 79,Clear alarm
Thermoking,Arıza Kodu 80,Compressor protection tripped have it repaired
Thermoking,Arıza Kodu 81,Compressor operating at excessive temperature repair quickly
Thermoking,Arıza Kodu 82,Stopped to prevent damage repair quickly
Thermoking,Arıza Kodu 83,Low heating capacity have it repaired
Thermoking,Arıza Kodu 84,Check other alarms and repair if unit stops
Thermoking,Arıza Kodu 89,If yellow alarm operating at low capacity perform repair
Thermoking,Arıza Kodu 90,Check voltage at 380V three-phase
Thermoking,Arıza Kodu 91,Check voltage
Thermoking,Arıza Kodu 92,Check sensor numbers (from menu)
Thermoking,Arıza Kodu 93,Check suction pressure
Thermoking,Arıza Kodu 94,Check circuit input
Thermoking,Arıza Kodu 95,Check circuit input
Thermoking,Arıza Kodu 96,For units transported on trains
Thermoking,Arıza Kodu 98,Test sensor
Thermoking,Arıza Kodu 99,Check with indicators
Thermoking,Arıza Kodu 105,Unit operating in low heating mode
Thermoking,Arıza Kodu 106,Unit operating in low heating mode
Thermoking,Arıza Kodu 107,Unit operating at low capacity
Thermoking,Arıza Kodu 108,Alarm due to compartment door left open for too long close door and clear alarm
Thermoking,Arıza Kodu 109,High output pressure or output sensor high RPM protection
Thermoking,Arıza Kodu 110,Unit operating at low capacity inspect load and perform necessary repair
Thermoking,Arıza Kodu 111,Microprocessor not set for the unit urgently reset
Thermoking,Arıza Kodu 112,Compartment fan not working perform necessary repair
Thermoking,Arıza Kodu 113,Electric heating problem perform necessary repair
Thermoking,Arıza Kodu 114,Stopped to prevent damage check alarms perform necessary repair
Thermoking,Arıza Kodu 115,Check high-pressure switch
Thermoking,Arıza Kodu 116,Check circuit
Thermoking,Arıza Kodu 117,Check circuit and relay
Thermoking,Arıza Kodu 118,Check circuit and relay
Thermoking,Arıza Kodu 121,Check circuit
Thermoking,Arıza Kodu 122,Check both circuits
Thermoking,Arıza Kodu 127,Enter set temperature
Thermoking,Arıza Kodu 128,Check maintenance hours
Thermoking,Arıza Kodu 129,Check maintenance hours
Thermoking,Arıza Kodu 130,Check maintenance hours
Thermoking,Arıza Kodu 131,Check maintenance hours
Thermoking,Arıza Kodu 132,Check maintenance hours
Thermoking,Arıza Kodu 133,Check maintenance hours
Thermoking,Arıza Kodu 134,Check connections
Thermoking,Arıza Kodu 136,Check spare output
Thermoking,Arıza Kodu 137,Check damper motor heater
Thermoking,Arıza Kodu 203,Sensor control
Thermoking,Arıza Kodu 204,Sensor control
Webasto,F01,Heater does not start
Webasto,F02,Ignition cuts off
Webasto,F03,Low or high battery voltage
Webasto,F04,Ignition failure
Webasto,F05,Flame detector disabled or short circuit
Webasto,F06,Overheating sensor disabled or short circuit
Webasto,F07,Fuel pump disabled or short circuit
Webasto,F08,Blower motor flow error
Webasto,F09,Ignition spark plug disabled
Webasto,F10,Overheating
Webasto,F11,Low fuel level in the engine
Webasto,F12,Heater locked
Webasto,F13,Insufficient fuel pump pressure
Webasto,F16,Excessive battery charge
Webasto,F28,Fuel supply error
Webasto,F49,Flame sensor error
Webasto,F54,Combustion error
Webasto,F59,Electrical supply error
Webasto,E0,System operating normally no error
Webasto,E1,Combustion sensor or ignition device may be faulty
Webasto,E2,Fuel supply valve may be faulty
Webasto,E3,Error occurred during combustion Air intake or combustion gas exhaust may be restricted
Webasto,E4,Low battery voltage or ignition device may be faulty
Webasto,E5,Fuel supply error or insufficient fuel supply pressure Fuel pump or fuel filter may be faulty
Webasto,E6,Low fuel level or insufficient fuel quality
Webasto,E7,Combustion sensor or ignition device may be faulty
Webasto,E10,Insufficient combustion air or combustion air sensor faulty
Webasto,E09,Combustion tube clogged or combustion tube ventilation hole clogged
Webasto,E11,Combustion sensor faulty or issue with combustion sensor cable
Webasto,E13,Fuel supply pump faulty or issue with fuel supply pump cable
Volkswagen,P0101,MAF Air Flow Circuit Range Performance Problem
Volkswagen,P0102,MAF Air Flow Circuit Low Input
Volkswagen,P0103,MAF Air Flow Circuit High Input
Volkswagen,P0113,Integrated Circuit Temperature Sensor High Input
Volkswagen,P0118,Engine Temperature Sensor High Input
Volkswagen,P0122,Throttle Position Sensor Circuit Low Input
Volkswagen,P0123,Throttle Position Sensor Circuit High Input
Volkswagen,P0130,Oxygen Sensor Circuit Malfunction (Bank 1 Sensor 1)
Volkswagen,P0133,Oxygen Sensor Circuit Slow Response (Bank 1 Sensor 1)
Volkswagen,P0135,Oxygen Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
Volkswagen,P0171,Fuel Air Mixture Lean (Bank 1)
Volkswagen,P0172,Fuel Air Mixture Rich (Bank 1)
Volkswagen,P0300,Random Multiple Cylinder Misfire Detected
Volkswagen,P0301,Cylinder 1 Misfire Detected
Volkswagen,P0302,Cylinder 2 Misfire Detected
Volkswagen,P0303,Cylinder 3 Misfire Detected
Volkswagen,P0304,Cylinder 4 Misfire Detected
Volkswagen,P0321,Cylinder 1 Knock Sensor Circuit Malfunction
Volkswagen,P0322,Cylinder 1 Knock Sensor Circuit Low Input
Volkswagen,P0327,Cylinder 1 Knock Sensor Circuit High Input
Volkswagen,P0400,Exhaust Gas Recirculation Circuit Malfunction
Volkswagen,P0401,Exhaust Gas Recirculation Circuit Performance
Volkswagen,P0420,Catalytic Converter Efficiency Below Threshold (Bank 1)
Volkswagen,P0440,Evaporative Emission Control System Malfunction
Volkswagen,P0441,Evaporative Emission Control System Performance
Volkswagen,P0442,Small Evaporative Emission Control System Leak Detected
Volkswagen,P0446,Evaporative Emission Control System Control Valve Circuit Malfunction
Volkswagen,P0501,Vehicle Speed Sensor Circuit Malfunction
Volkswagen,P0505,Throttle Control Malfunction
Volkswagen,P0562,Low Charge Condition
Volkswagen,P0010,A Camshaft Position Actuator Circuit (Bank 1)
Volkswagen,P0101,Air Flow Circuit Mass or Volume Range Performance Problem
Volkswagen,P0171,System Too Lean (Bank 1)
Volkswagen,P0300,Random Multiple Cylinder Misfire Detected
Volkswagen,P0322,Ignition Distributor Engine Speed Input Circuit No Signal
Volkswagen,P0401,Exhaust Gas Recirculation Flow Insufficient Detected
Volkswagen,P0420,Catalytic Converter System Efficiency Below Threshold (Bank 1)
Volkswagen,P0440,Evaporative Emission Control System Malfunction
Volkswagen,P0455,Evaporative Emission Control System Leak Detected (large leak)
Volkswagen,P0506,Idle Control System RPM Lower Than Expected
Volkswagen,P0601,Internal Control Module Memory Checksum Error
Volkswagen,P0620,Generator Control Circuit Malfunction
Volkswagen,P0700,Transmission Control System Malfunction
Volkswagen,P0720,Output Speed Sensor Circuit Malfunction
Volkswagen,P0740,Torque Converter Clutch Circuit Malfunction
Volkswagen,P0750,Shift Solenoid A Malfunction
Volkswagen,P1101,Mass Air Flow Sensor Self-Test Out of Range
Volkswagen,P1128,Long-Term Fuel Trim B1 System Too Lean
Volkswagen,P1136,Long-Term Fuel Trim Additional Fuel B1 System Too Lean
Volkswagen,P1141,Load Calculation Cross Check Range Performance Problem
Volkswagen,P1171,Fuel System Lean During Acceleration B1
Volkswagen,P1181,Fuel Delivery System Malfunction – High
Volkswagen,P1188,Fuel Control Bank 1 Sensor 1 Signal Out of Range
Volkswagen,P1192,Oxygen Sensor Circuit – Bank 1 Sensor 2 Circuit High Voltage
Volkswagen,P1220,Series Throttle Control Error
Volkswagen,P1225,Needle Lift Sensor Malfunction
Volkswagen,P1237,Fuel Pump Secondary Circuit Malfunction
Volkswagen,P1255,Engine Coolant Temperature Circuit Malfunction